id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
0,0.001055,udp,dns,CON,2,2,132,164,,31,29,500473.9375,621800.9375,0,0,0.017,0.013,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,3,0,1,1,1,1,0,0,0,0,7,0
0,0.036133,udp,-,CON,4,4,528,304,,31,29,87676.08594,50480.17188,0,0,7.005,7.564333,9.89101,10.682733,0,0,0,0,0.0,0.0,0.0,132,76,0,0,2,0,2,1,1,2,0,0,0,0,4,0
0,0.001119,udp,dns,CON,2,2,146,178,,31,29,521894.5313,636282.375,0,0,0.017,0.013,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,12,0,1,2,1,1,0,0,0,0,8,0
0,0.001209,udp,dns,CON,2,2,132,164,,31,29,436724.5625,542597.1875,0,0,0.043,0.014,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,6,0,1,1,1,1,0,0,0,0,9,0
0,0.001169,udp,dns,CON,2,2,146,178,,31,29,499572.25,609067.5625,0,0,0.005,0.003,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,7,0,1,1,1,1,0,0,0,0,9,0
0,0.078339,udp,-,CON,4,4,568,312,,31,29,43503.23438,23896.14258,0,0,21.003,24.315,29.682221,34.37034,0,0,0,0,0.0,0.0,0.0,142,78,0,0,2,0,2,1,1,2,0,0,0,0,4,0
0,0.001134,udp,dns,CON,2,2,132,164,,31,29,465608.4688,578483.25,0,0,0.017,0.013,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,12,0,1,2,1,1,0,0,0,0,7,0
0,0.0,arp,-,INT,1,0,46,0,,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,0,2,1
0,0.001126,udp,dns,CON,2,2,146,178,,31,29,518650.0938,632326.8125,0,0,0.018,0.013,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,6,0,3,1,1,1,0,0,0,0,7,0
0,0.001167,udp,dns,CON,2,2,132,164,,31,29,452442.1563,562125.0625,0,0,0.018,0.013,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,6,0,2,1,1,1,0,0,0,0,7,0
